family,Mono,Bltc,Sp_D,Sp_L,Maze,St_H,St_D,St_V,Sddl,Eyes,Area
Rajidae,1,1,1,1,1,0,0,1,0,1,0
Regalecidae,0,0,1,0,0,0,0,0,0,0,0
Retropinnidae,1,0,0,0,0,1,0,0,0,0,0
Rhamphichthyidae,0,1,0,0,1,1,1,0,0,0,0
Rhamphocottidae,0,0,0,0,1,0,0,1,0,0,0
Rhincodontidae,0,0,0,1,0,0,0,1,0,0,0
Rhinidae,0,0,0,1,0,0,0,0,0,0,0
Rhinobatidae,1,1,1,1,1,0,0,0,0,1,1
Rhinochimaeridae,1,0,0,0,0,0,0,0,0,0,0
Rhinopteridae,1,0,0,0,0,0,0,0,0,0,0
Rhyacichthyidae,1,1,1,0,1,0,0,0,1,0,0
Rivulidae,1,1,1,1,1,1,1,1,0,1,1
Rondeletiidae,1,0,0,0,0,0,0,0,0,0,0
Saccopharyngidae,1,0,0,0,0,0,0,0,0,0,0
Salangidae,1,0,0,0,0,0,0,0,0,0,0
Salmonidae,1,1,1,1,1,1,0,1,1,1,1
Samaridae,0,1,1,0,0,0,0,0,0,0,0
Scaridae,1,1,1,1,1,1,1,1,1,1,1
Scatophagidae,0,0,1,0,0,0,0,1,0,0,0
Schilbeidae,1,1,1,0,0,1,0,0,0,0,0
Schindleriidae,1,1,0,0,0,0,0,0,0,0,0
Sciaenidae,1,1,1,1,1,1,1,1,1,1,0
Scoloplacidae,0,1,0,0,0,0,0,0,0,0,0
Scomberesocidae,1,0,0,0,0,0,0,0,0,0,0
Scombridae,1,1,1,1,1,1,1,1,0,0,1
Scombrolabracidae,1,0,0,0,0,0,0,0,0,0,0
Scombropidae,1,0,0,0,0,0,0,0,0,0,0
Scopelarchidae,1,0,0,0,0,0,0,0,0,0,0
Scophthalmidae,1,1,1,1,0,0,0,0,0,1,0
Scorpaenidae,1,1,1,1,1,0,1,1,1,1,1
Scorpididae,0,0,0,0,0,1,0,0,0,0,0
Scyliorhinidae,1,1,1,1,1,1,0,1,1,0,0
Sebastidae,1,1,1,1,1,1,1,1,1,1,1
Serpenticobitidae,0,0,0,0,0,0,0,1,0,0,0
Serranidae,1,1,1,1,1,1,1,1,1,1,1
Serrasalmidae,1,1,1,0,0,0,0,1,0,1,1
Serrivomeridae,1,0,0,0,0,0,0,0,0,0,0
Setarchidae,1,0,1,0,0,0,0,0,0,0,0
Siganidae,1,1,1,1,1,1,1,1,1,1,1
Sillaginidae,1,0,1,0,1,1,1,0,0,0,0
Siluridae,1,1,0,0,1,1,0,0,0,1,0
Sisoridae,1,1,1,1,0,1,0,1,1,0,1
Soleidae,1,1,1,1,1,0,0,1,0,1,0
Solenostomidae,0,1,0,1,1,0,0,0,0,0,1
Somniosidae,1,0,0,0,0,0,0,0,0,0,0
Sparidae,1,1,0,1,0,1,0,1,0,1,1
Sphyraenidae,1,0,0,0,0,1,1,1,0,0,0
Sphyrnidae,1,0,0,0,0,0,0,0,0,0,0
Squalidae,1,0,0,0,0,0,0,0,0,0,0
Squatinidae,1,1,1,1,0,0,0,0,0,0,0
Stegostomatidae,0,0,1,0,1,0,0,1,0,0,0
Stephanoberycidae,1,1,0,0,0,0,0,0,0,0,0
Sternoptychidae,1,1,1,0,0,0,0,0,0,0,0
Sternopygidae,1,0,0,0,0,1,0,0,0,0,1
Stichaeidae,1,1,1,1,1,1,1,1,1,1,1
Stomiidae,1,1,1,0,0,0,0,1,0,0,0
Stromateidae,1,0,1,0,0,1,0,0,0,0,0
Symphysanodontidae,1,0,0,0,0,1,0,0,0,0,1
Synanceiidae,1,1,1,1,1,1,1,1,1,0,1
Synaphobranchidae,1,1,0,0,0,1,0,0,0,0,0
Synbranchidae,1,1,1,0,1,0,0,0,0,0,0
Syngnathidae,1,1,1,1,1,1,1,1,0,1,1
Synodontidae,1,1,1,1,1,1,0,1,1,0,0
Telmatherinidae,1,0,0,0,0,1,0,0,0,0,0
Terapontidae,1,1,1,0,0,1,1,1,1,1,0
Tetrabrachiidae,0,0,0,1,0,0,0,0,0,0,0
Tetragonuridae,0,1,0,0,0,0,0,0,0,0,0
Tetraodontidae,1,1,1,1,1,1,1,1,1,1,1
Tetrarogidae,1,1,1,0,1,0,0,1,1,0,0
Thaumatichthyidae,1,0,0,0,0,0,0,0,0,0,0
Torpedinidae,1,1,1,1,1,0,0,0,0,1,0
Toxotidae,0,0,1,0,1,0,1,0,1,0,0
Trachichthyidae,1,1,0,0,0,1,0,0,0,0,0
Trachinidae,1,0,1,1,1,1,1,0,0,1,0
Trachipteridae,1,1,1,0,0,0,0,1,0,1,0
Triacanthidae,1,0,1,0,1,0,0,0,0,0,1
Triacanthodidae,1,1,0,1,1,1,0,0,0,0,0
Triakidae,1,1,1,1,0,0,0,1,1,0,0
Trichiuridae,1,1,0,0,0,0,0,0,0,0,0
Trichodontidae,0,0,1,0,1,1,0,0,0,0,0
Trichomycteridae,1,1,1,1,1,1,0,0,1,1,0
Trichonotidae,1,0,1,1,0,1,0,1,0,0,0
Triglidae,1,1,1,1,1,1,1,1,1,1,0
Triodontidae,0,1,0,1,0,0,0,0,0,1,0
Triportheidae,1,0,1,0,0,1,0,0,0,0,0
Tripterygiidae,1,1,1,1,1,1,1,1,1,1,1
Umbridae,0,1,1,0,1,1,0,1,0,0,0
Uranoscopidae,1,1,1,1,1,1,0,1,1,1,0
Urolophidae,1,1,0,1,1,0,0,0,0,0,0
Urotrygonidae,1,1,1,1,1,0,0,0,0,0,0
Vaillantellidae,1,1,0,0,0,0,0,0,0,0,0
Valenciidae,0,0,0,0,0,0,0,1,0,0,0
Veliferidae,0,1,1,0,0,0,0,1,0,1,0
Xenisthmidae,1,1,0,0,0,0,0,1,1,1,1
Xiphiidae,1,1,0,0,0,0,0,0,0,0,0
Zanclidae,0,0,0,0,0,0,0,1,0,0,1
Zaproridae,1,0,0,0,0,0,0,0,0,0,0
Zeidae,1,0,1,0,1,0,0,0,0,1,0
Zenarchopteridae,1,0,0,0,0,1,0,0,0,0,0
Zeniontidae,1,1,0,0,0,0,0,0,0,0,0
Zoarcidae,1,1,1,1,1,0,0,1,1,1,1
