,id,species,specimen,lightness,complexity,link,credit,note
110,111_his,his,KPM-NR 8308,,,http://fishpix.kahaku.go.jp/fishimage-e/detail?PHOTO_ID=8308,FishPix,
111,112_his,his,KPM-NR 82429,,,http://fishpix.kahaku.go.jp/fishimage-e/detail?PHOTO_ID=82429,FishPix,
112,113_his,his,KPM-NR 2462,,,http://fishpix.kahaku.go.jp/fishimage-e/detail?PHOTO_ID=2462,FishPix,
113,114_his,his,KPM-NR 49315,,,http://fishpix.kahaku.go.jp/fishimage-e/detail?PHOTO_ID=49315,FishPix,
114,115_his,his,KPM-NR 49360,,,http://fishpix.kahaku.go.jp/fishimage-e/detail?PHOTO_ID=49360,FishPix,
115,116_his,his,KPM-NR 72032,,,http://fishpix.kahaku.go.jp/fishimage-e/detail?PHOTO_ID=72032,FishPix,
116,117_his,his,KPM-NR 107143,,,http://fishpix.kahaku.go.jp/fishimage-e/detail?PHOTO_ID=107143,FishPix,
117,118_his,his,KPM-NR 107144,,,http://fishpix.kahaku.go.jp/fishimage-e/detail?PHOTO_ID=107144,FishPix,
118,119_his,his,KPM-NR 85847,,,http://fishpix.kahaku.go.jp/fishimage-e/detail?PHOTO_ID=85847,FishPix,
119,120_his,his,KPM-NR 107145,,,http://fishpix.kahaku.go.jp/fishimage-e/detail?PHOTO_ID=107145,FishPix,
