,file_base,png_file_q,A,C,lightness,complexity
0,rd_out/uni/MB_1_A0.1062_C-0.100,rd_out/uni/MB_1_A0.1062_C-0.100_02000.png,0.10620689655172416,-0.1,0.0024603174603174604,0.15141878842948986
1,rd_out/uni/MB_1_A0.1086_C-0.100,rd_out/uni/MB_1_A0.1086_C-0.100_02000.png,0.10862068965517242,-0.1,0.0058333333333333345,0.15959257796599513
2,rd_out/uni/MB_1_A0.1110_C-0.100,rd_out/uni/MB_1_A0.1110_C-0.100_02000.png,0.1110344827586207,-0.1,0.04032879818594105,0.17117364011292058
3,rd_out/uni/MB_1_A0.1134_C-0.100,rd_out/uni/MB_1_A0.1134_C-0.100_02000.png,0.11344827586206895,-0.1,0.05725056689342404,0.18487683371191432
4,rd_out/uni/MB_1_A0.1159_C-0.100,rd_out/uni/MB_1_A0.1159_C-0.100_02000.png,0.11586206896551725,-0.1,0.09038548752834467,0.18896630235081333
5,rd_out/uni/MB_1_A0.1183_C-0.100,rd_out/uni/MB_1_A0.1183_C-0.100_02000.png,0.11827586206896552,-0.1,0.15421201814058955,0.2234552498116481
6,rd_out/uni/MB_1_A0.1207_C-0.100,rd_out/uni/MB_1_A0.1207_C-0.100_02000.png,0.1206896551724138,-0.1,0.20136621315192746,0.2928197027630707
7,rd_out/uni/MB_1_A0.1231_C-0.100,rd_out/uni/MB_1_A0.1231_C-0.100_02000.png,0.12310344827586207,-0.1,0.2616893424036281,0.3566085035145085
8,rd_out/uni/MB_1_A0.1255_C-0.100,rd_out/uni/MB_1_A0.1255_C-0.100_02000.png,0.12551724137931036,-0.1,0.2840816326530612,0.43854108656888136
9,rd_out/uni/MB_1_A0.1279_C-0.100,rd_out/uni/MB_1_A0.1279_C-0.100_02000.png,0.12793103448275864,-0.1,0.3204931972789116,0.4842334371532669
10,rd_out/uni/MB_1_A0.1303_C-0.100,rd_out/uni/MB_1_A0.1303_C-0.100_02000.png,0.1303448275862069,-0.1,0.3525453514739229,0.5384812689135391
11,rd_out/uni/MB_1_A0.1328_C-0.100,rd_out/uni/MB_1_A0.1328_C-0.100_02000.png,0.1327586206896552,-0.1,0.3886054421768708,0.7158656074337721
12,rd_out/uni/MB_1_A0.1352_C-0.100,rd_out/uni/MB_1_A0.1352_C-0.100_02000.png,0.13517241379310346,-0.1,0.4049092970521542,0.7517038307930659
13,rd_out/uni/MB_1_A0.1376_C-0.100,rd_out/uni/MB_1_A0.1376_C-0.100_02000.png,0.13758620689655174,-0.1,0.4514569160997732,0.7880401014728694
14,rd_out/uni/MB_1_A0.1400_C-0.100,rd_out/uni/MB_1_A0.1400_C-0.100_02000.png,0.14,-0.1,0.4593424036281179,0.8256135273985498
15,rd_out/uni/MB_1_A0.1038_C-0.083,rd_out/uni/MB_1_A0.1038_C-0.083_02000.png,0.10379310344827587,-0.08275862068965517,0.007125850340136054,0.13765461102048748
16,rd_out/uni/MB_1_A0.1062_C-0.083,rd_out/uni/MB_1_A0.1062_C-0.083_02000.png,0.10620689655172416,-0.08275862068965517,0.0514172335600907,0.147617189927995
17,rd_out/uni/MB_1_A0.1086_C-0.083,rd_out/uni/MB_1_A0.1086_C-0.083_02000.png,0.10862068965517242,-0.08275862068965517,0.10047052154195013,0.19480753628860906
18,rd_out/uni/MB_1_A0.1110_C-0.083,rd_out/uni/MB_1_A0.1110_C-0.083_02000.png,0.1110344827586207,-0.08275862068965517,0.14908730158730155,0.19966555920615647
19,rd_out/uni/MB_1_A0.1134_C-0.083,rd_out/uni/MB_1_A0.1134_C-0.083_02000.png,0.11344827586206895,-0.08275862068965517,0.202375283446712,0.25976877840592616
20,rd_out/uni/MB_1_A0.1159_C-0.083,rd_out/uni/MB_1_A0.1159_C-0.083_02000.png,0.11586206896551725,-0.08275862068965517,0.2379308390022676,0.3025296770647469
21,rd_out/uni/MB_1_A0.1183_C-0.083,rd_out/uni/MB_1_A0.1183_C-0.083_02000.png,0.11827586206896552,-0.08275862068965517,0.2663265306122449,0.34610457086088586
22,rd_out/uni/MB_1_A0.1207_C-0.083,rd_out/uni/MB_1_A0.1207_C-0.083_02000.png,0.1206896551724138,-0.08275862068965517,0.2995124716553288,0.4290750049460651
23,rd_out/uni/MB_1_A0.1231_C-0.083,rd_out/uni/MB_1_A0.1231_C-0.083_02000.png,0.12310344827586207,-0.08275862068965517,0.3222165532879819,0.4668037494012013
24,rd_out/uni/MB_1_A0.1255_C-0.083,rd_out/uni/MB_1_A0.1255_C-0.083_02000.png,0.12551724137931036,-0.08275862068965517,0.3462244897959184,0.5007543918775437
25,rd_out/uni/MB_1_A0.1279_C-0.083,rd_out/uni/MB_1_A0.1279_C-0.083_02000.png,0.12793103448275864,-0.08275862068965517,0.3749546485260771,0.6303903162398763
26,rd_out/uni/MB_1_A0.1303_C-0.083,rd_out/uni/MB_1_A0.1303_C-0.083_02000.png,0.1303448275862069,-0.08275862068965517,0.40760204081632656,0.6679223219789763
27,rd_out/uni/MB_1_A0.1328_C-0.083,rd_out/uni/MB_1_A0.1328_C-0.083_02000.png,0.1327586206896552,-0.08275862068965517,0.4293424036281179,0.6767807271326026
28,rd_out/uni/MB_1_A0.1352_C-0.083,rd_out/uni/MB_1_A0.1352_C-0.083_02000.png,0.13517241379310346,-0.08275862068965517,0.468843537414966,0.7749857172122184
29,rd_out/uni/MB_1_A0.1376_C-0.083,rd_out/uni/MB_1_A0.1376_C-0.083_02000.png,0.13758620689655174,-0.08275862068965517,0.4860714285714286,0.8357409503577267
30,rd_out/uni/MB_1_A0.1400_C-0.083,rd_out/uni/MB_1_A0.1400_C-0.083_02000.png,0.14,-0.08275862068965517,0.5239852607709751,0.8480874822175314
31,rd_out/uni/MB_1_A0.0990_C-0.066,rd_out/uni/MB_1_A0.0990_C-0.066_02000.png,0.09896551724137932,-0.06551724137931035,0.03123015873015873,0.19798050984063964
