,file_base,png_file_q,lightness,complexity
0,rd_out/ish/ws20-bs20_hq_A0.1207_C-0.100-A0.1376_C0.003,rd_out/ish/ws20-bs20_hq_A0.1207_C-0.100-A0.1376_C0.003_02000.png,0.4911111111111111,0.8355710011336641
1,rd_out/ish/ws20-bs20_hq_A0.1207_C-0.100-A0.1352_C0.021,rd_out/ish/ws20-bs20_hq_A0.1207_C-0.100-A0.1352_C0.021_02000.png,0.4992630385487528,0.8592849188328491
2,rd_out/ish/ws20-bs20_hq_A0.1207_C-0.100-A0.1303_C0.055,rd_out/ish/ws20-bs20_hq_A0.1207_C-0.100-A0.1303_C0.055_02000.png,0.5265079365079365,0.827424599280097
3,rd_out/ish/ws20-bs20_hq_A0.1207_C-0.100-A0.1279_C0.038,rd_out/ish/ws20-bs20_hq_A0.1207_C-0.100-A0.1279_C0.038_02000.png,0.49363945578231294,0.8712405056956207
4,rd_out/ish/ws20-bs20_hq_A0.1207_C-0.100-A0.1279_C0.055,rd_out/ish/ws20-bs20_hq_A0.1207_C-0.100-A0.1279_C0.055_02000.png,0.5046315192743764,0.8718224884587915
5,rd_out/ish/ws20-bs20_hq_A0.1207_C-0.100-A0.1231_C0.072,rd_out/ish/ws20-bs20_hq_A0.1207_C-0.100-A0.1231_C0.072_02000.png,0.509812925170068,0.8191613495887129
6,rd_out/ish/ws20-bs20_hq_A0.1207_C-0.100-A0.1183_C0.072,rd_out/ish/ws20-bs20_hq_A0.1207_C-0.100-A0.1183_C0.072_02000.png,0.48689909297052153,0.8665057216212204
7,rd_out/ish/ws20-bs20_hq_A0.1207_C-0.100-A0.1134_C0.090,rd_out/ish/ws20-bs20_hq_A0.1207_C-0.100-A0.1134_C0.090_02000.png,0.48079365079365083,0.8243793507467958
8,rd_out/ish/ws20-bs20_hq_A0.1207_C-0.100-A0.1134_C0.107,rd_out/ish/ws20-bs20_hq_A0.1207_C-0.100-A0.1134_C0.107_02000.png,0.5045351473922902,0.8157833570575108
9,rd_out/ish/ws20-bs20_hq_A0.1207_C-0.100-A0.1062_C0.141,rd_out/ish/ws20-bs20_hq_A0.1207_C-0.100-A0.1062_C0.141_02000.png,0.5045124716553288,0.8424570186780036
10,rd_out/ish/ws20-bs20_hq_A0.1207_C-0.100-A0.1038_C0.159,rd_out/ish/ws20-bs20_hq_A0.1207_C-0.100-A0.1038_C0.159_02000.png,0.511921768707483,0.86325016120587
11,rd_out/ish/ws20-bs20_hq_A0.1207_C-0.100-A0.0893_C0.228,rd_out/ish/ws20-bs20_hq_A0.1207_C-0.100-A0.0893_C0.228_02000.png,0.5296655328798185,0.8605073140909549
12,rd_out/ish/ws20-bs20_hq_A0.1207_C-0.100-A0.0869_C0.210,rd_out/ish/ws20-bs20_hq_A0.1207_C-0.100-A0.0869_C0.210_02000.png,0.5074716553287982,0.8401908979162294
13,rd_out/ish/ws20-bs20_hq_A0.1207_C-0.100-A0.0821_C0.245,rd_out/ish/ws20-bs20_hq_A0.1207_C-0.100-A0.0821_C0.245_02000.png,0.5107993197278912,0.8601520699265023
14,rd_out/ish/ws20-bs20_hq_A0.1207_C-0.100-A0.0797_C0.245,rd_out/ish/ws20-bs20_hq_A0.1207_C-0.100-A0.0797_C0.245_02000.png,0.5103458049886622,0.7733136199868142
15,rd_out/ish/ws20-bs20_hq_A0.1207_C-0.100-A0.0724_C0.279,rd_out/ish/ws20-bs20_hq_A0.1207_C-0.100-A0.0724_C0.279_02000.png,0.5213888888888889,0.8508693938350104
16,rd_out/ish/ws20-bs20_hq_A0.1207_C-0.100-A0.0724_C0.314,rd_out/ish/ws20-bs20_hq_A0.1207_C-0.100-A0.0724_C0.314_02000.png,0.5469784580498867,0.8456488239659592
17,rd_out/ish/ws20-bs20_hq_A0.1207_C-0.100-A0.0700_C0.297,rd_out/ish/ws20-bs20_hq_A0.1207_C-0.100-A0.0700_C0.297_02000.png,0.5271315192743764,0.8395291124433155
18,rd_out/ish/ws20-bs20_hq_A0.1207_C-0.100-A0.0700_C0.331,rd_out/ish/ws20-bs20_hq_A0.1207_C-0.100-A0.0700_C0.331_02000.png,0.5649489795918368,0.837008449799548
19,rd_out/ish/ws20-bs20_hq_A0.1207_C-0.100-A0.0700_C0.366,rd_out/ish/ws20-bs20_hq_A0.1207_C-0.100-A0.0700_C0.366_02000.png,0.6008730158730159,0.6581715000492523
20,rd_out/ish/ws20-bs20_hq_A0.1159_C-0.083-A0.1376_C0.003,rd_out/ish/ws20-bs20_hq_A0.1159_C-0.083-A0.1376_C0.003_02000.png,0.4966213151927438,0.8758911576783556
