,file_base,png_file_q,A,C,lightness,complexity
0,rd_out/uni/MB_1_A0.0700_C-0.100,rd_out/uni/MB_1_A0.0700_C-0.100_02000.png,0.07,-0.1,0.0,0.0
1,rd_out/uni/MB_1_A0.0724_C-0.100,rd_out/uni/MB_1_A0.0724_C-0.100_02000.png,0.07241379310344828,-0.1,0.0,0.0
2,rd_out/uni/MB_1_A0.0748_C-0.100,rd_out/uni/MB_1_A0.0748_C-0.100_02000.png,0.07482758620689656,-0.1,0.0,0.0
3,rd_out/uni/MB_1_A0.0772_C-0.100,rd_out/uni/MB_1_A0.0772_C-0.100_02000.png,0.07724137931034483,-0.1,0.0,0.0
4,rd_out/uni/MB_1_A0.0797_C-0.100,rd_out/uni/MB_1_A0.0797_C-0.100_02000.png,0.07965517241379311,-0.1,0.0,0.0
5,rd_out/uni/MB_1_A0.0821_C-0.100,rd_out/uni/MB_1_A0.0821_C-0.100_02000.png,0.08206896551724138,-0.1,0.0,0.0
6,rd_out/uni/MB_1_A0.0845_C-0.100,rd_out/uni/MB_1_A0.0845_C-0.100_02000.png,0.08448275862068966,-0.1,0.0,0.0
7,rd_out/uni/MB_1_A0.0869_C-0.100,rd_out/uni/MB_1_A0.0869_C-0.100_02000.png,0.08689655172413793,-0.1,0.0,0.0
8,rd_out/uni/MB_1_A0.0893_C-0.100,rd_out/uni/MB_1_A0.0893_C-0.100_02000.png,0.08931034482758621,-0.1,0.0,0.0
9,rd_out/uni/MB_1_A0.0917_C-0.100,rd_out/uni/MB_1_A0.0917_C-0.100_02000.png,0.09172413793103448,-0.1,0.0,0.0
10,rd_out/uni/MB_1_A0.0941_C-0.100,rd_out/uni/MB_1_A0.0941_C-0.100_02000.png,0.09413793103448276,-0.1,0.0,0.0
11,rd_out/uni/MB_1_A0.0966_C-0.100,rd_out/uni/MB_1_A0.0966_C-0.100_02000.png,0.09655172413793105,-0.1,0.0,0.0
12,rd_out/uni/MB_1_A0.0990_C-0.100,rd_out/uni/MB_1_A0.0990_C-0.100_02000.png,0.09896551724137932,-0.1,0.0,0.0
13,rd_out/uni/MB_1_A0.1014_C-0.100,rd_out/uni/MB_1_A0.1014_C-0.100_02000.png,0.1013793103448276,-0.1,0.0,0.0
14,rd_out/uni/MB_1_A0.1038_C-0.100,rd_out/uni/MB_1_A0.1038_C-0.100_02000.png,0.10379310344827587,-0.1,0.0,0.0
